"Site ID";Nom;Pays;Vendor;Technologie;"KPI Global (%)";Statut;"KPI Dégradant";"Valeur KPI Dégradant (%)";Date
IM427;DJEDANA_R;CI;Huawei;2G;65.78;critical;"Succès Handover";41.67;2026-03-31
ET400;NUMBER_ONE;CI;Ericsson;2G;66.05;critical;"Disponibilité TCH";15.31;2026-03-31
ET988;YOP_NUMBER_ONE_EXT;CI;Ericsson;2G;66.40;critical;"Disponibilité TCH";15.79;2026-03-31
AC127;AC127;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
AC288;BOUNA;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
AC359;AVICENNE;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
AC634;ABINADER;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
AC663;BRIDGE_BANK;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
AC717;DAGBA_EXTENSION;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
AC988;BELLE_EPINE;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
AC999;AC999;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
ET036;MICRO_TOUR_C;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
ET038;MICRO_TOUR_D;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
ET040;MICRO_PLTX_PRESIDENCE_2;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
ET051;ET051;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
ET058;BLANCHON_EXTENSION;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
ET089;ET089;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
ET487;ZUZUOKO;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
ET704;BINGES_GBAGBA;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
ET706;GLOPLOU;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
ET803;"ABOBO_AVOCATIER_2 CHATEAUX";CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
ET860;SERIHIO;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
ET934;ABOBO_SAGBE_BOCABO;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
IM072;RURAL_FOUMBOLO;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
IM085;RURAL_GOUEHIZRA;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
IM261;GOGOHOURI;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
IM356;IM356;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-31
