"RAPPORT HEBDOMADAIRE NETINSIGHT 360 — 31/03/2026"

Indicateur;Valeur
"Sites supervisés";2189
"KPI Global moyen";98.53%

"--- ANALYSE DES PIRES SITES ---"
"Site ID";Nom;Technologie;"KPI Global (%)";"KPI Dégradant";"Valeur (%)"
IM427;DJEDANA_R;2G;65.78;"Succès Handover";41.67
ET400;NUMBER_ONE;2G;66.05;"Disponibilité TCH";15.31
ET988;YOP_NUMBER_ONE_EXT;2G;66.40;"Disponibilité TCH";15.79
AC127;AC127;2G;66.67;"Disponibilité TCH";0.00
AC288;BOUNA;2G;66.67;"Disponibilité TCH";0.00
AC359;AVICENNE;2G;66.67;"Disponibilité TCH";0.00
AC634;ABINADER;2G;66.67;"Disponibilité TCH";0.00
AC663;BRIDGE_BANK;2G;66.67;"Disponibilité TCH";0.00
AC717;DAGBA_EXTENSION;2G;66.67;"Disponibilité TCH";0.00
AC988;BELLE_EPINE;2G;66.67;"Disponibilité TCH";0.00
AC999;AC999;2G;66.67;"Disponibilité TCH";0.00
ET036;MICRO_TOUR_C;2G;66.67;"Disponibilité TCH";0.00
ET038;MICRO_TOUR_D;2G;66.67;"Disponibilité TCH";0.00
ET040;MICRO_PLTX_PRESIDENCE_2;2G;66.67;"Disponibilité TCH";0.00
ET051;ET051;2G;66.67;"Disponibilité TCH";0.00
ET058;BLANCHON_EXTENSION;2G;66.67;"Disponibilité TCH";0.00
ET089;ET089;2G;66.67;"Disponibilité TCH";0.00
ET487;ZUZUOKO;2G;66.67;"Disponibilité TCH";0.00
ET704;BINGES_GBAGBA;2G;66.67;"Disponibilité TCH";0.00
ET706;GLOPLOU;2G;66.67;"Disponibilité TCH";0.00
ET803;"ABOBO_AVOCATIER_2 CHATEAUX";2G;66.67;"Disponibilité TCH";0.00
ET860;SERIHIO;2G;66.67;"Disponibilité TCH";0.00
ET934;ABOBO_SAGBE_BOCABO;2G;66.67;"Disponibilité TCH";0.00
IM072;RURAL_FOUMBOLO;2G;66.67;"Disponibilité TCH";0.00
IM085;RURAL_GOUEHIZRA;2G;66.67;"Disponibilité TCH";0.00
IM261;GOGOHOURI;2G;66.67;"Disponibilité TCH";0.00
IM356;IM356;2G;66.67;"Disponibilité TCH";0.00
IM426;DIABOUO_R;2G;66.67;"Disponibilité TCH";0.00
IM453;IM453;2G;66.67;"Disponibilité TCH";0.00
ET973;PB_ABATTOIR;2G;67.85;"Disponibilité TCH";9.26
ET178;PARA;2G;70.46;"Disponibilité TCH";21.69
AC694;NAMBANAKAHA;2G;71.10;"Succès Handover";13.04
ET925;SOKOURALA;4G;71.81;"HO Inter-freq";28.57
IM390;RURAL_KROFOINSOU;2G;72.80;"Succès Handover";18.03
IM362;IM362;2G;73.52;"Disponibilité TCH";21.05
