"Site ID";Nom;Pays;Vendor;Technologie;"KPI Global (%)";Statut;"KPI Dégradant";"Valeur KPI Dégradant (%)";Date
ET927;YOREDOULA;CI;Huawei;3G;20.02;critical;"RRC CS SR";0.00;2026-04-19
ET927;YOREDOULA;CI;Huawei;3G;20.02;critical;"RRC CS SR";0.00;2026-04-19
ET630;OUYABLY-GNONDROU;CI;Ericsson;3G;20.46;critical;"RAB CS SR";0.00;2026-04-19
ET607;BEDY-GOAZON;CI;Huawei;3G;20.46;critical;"RAB CS SR";0.00;2026-04-19
ET607;BEDY-GOAZON;CI;Huawei;3G;20.46;critical;"RAB CS SR";0.00;2026-04-19
ET639;FOUEDOUGOU;CI;Huawei;3G;20.73;critical;"RAB CS SR";0.00;2026-04-19
IM202;SAKRE;CI;Huawei;3G;21.15;critical;"RRC CS SR";0.00;2026-04-19
ET823;BEABLO;CI;Huawei;3G;23.18;critical;"RRC PS SR";2.15;2026-04-19
ET621;SEITIFLA;CI;Huawei;3G;23.57;critical;"RRC PS SR";0.22;2026-04-19
ET621;SEITIFLA;CI;Huawei;3G;23.57;critical;"RRC PS SR";0.22;2026-04-19
AC829;BAHE_SEBON;CI;Huawei;3G;23.90;critical;"RRC CS SR";5.26;2026-04-19
AC829;BAHE_SEBON;CI;Huawei;3G;23.90;critical;"RRC CS SR";5.26;2026-04-19
AC843;BLODY;CI;Huawei;3G;23.94;critical;"Chute CS";0.00;2026-04-19
AC843;BLODY;CI;Huawei;3G;24.49;critical;"Chute CS";0.00;2026-04-19
ET635;TINHOU;CI;Huawei;3G;24.58;critical;"RRC PS SR";0.42;2026-04-19
ET635;TINHOU;CI;Huawei;3G;24.58;critical;"RRC PS SR";0.42;2026-04-19
AC949;PINHOU;CI;Huawei;3G;24.77;critical;"RRC PS SR";0.43;2026-04-19
ET823;BEABLO;CI;Huawei;3G;25.20;critical;"RRC PS SR";2.22;2026-04-19
ET846;BOUNTA;CI;Huawei;3G;25.68;critical;"RRC PS SR";0.59;2026-04-19
ET846;BOUNTA;CI;Huawei;3G;25.68;critical;"RRC PS SR";0.59;2026-04-19
ET525;DAKOUPLEU;CI;Ericsson;3G;25.69;critical;"RRC PS SR";0.74;2026-04-19
AC290;MAN;CI;Huawei;3G;25.69;critical;"RRC PS SR";1.21;2026-04-19
AC290;MAN;CI;Huawei;3G;25.69;critical;"RRC PS SR";1.21;2026-04-19
ET130;WONSEALY_V2;CI;Huawei;3G;26.61;critical;"RRC CS SR";3.12;2026-04-19
ET363;DOMOUROU;CI;Huawei;3G;26.61;critical;"RRC PS SR";4.09;2026-04-19
AC290;MAN;CI;Huawei;3G;26.70;critical;"RRC PS SR";3.77;2026-04-19
AC851;NIAZAHON_V16;CI;Huawei;3G;27.10;critical;"RRC PS SR";1.06;2026-04-19
AC206;DUEKOUE;CI;Huawei;3G;27.17;critical;"RRC PS SR";0.54;2026-04-19
AC843;BLODY;CI;Huawei;3G;27.17;critical;"RRC PS SR";1.15;2026-04-19
AC449;BUYO;CI;Huawei;3G;27.29;critical;"RRC CS SR";1.00;2026-04-19
ET364;MAN_KENEDY;CI;Huawei;3G;27.32;critical;"RRC PS SR";0.15;2026-04-19
