id,name,country_code,latitude,longitude,vendor,technology,region,localite,,,,,,,,,,,,,,
IM345,ADJADON V2_R,CI,5.1406,-5.1802,ERICSSON,2G,GRANDS-PONTS,ADJADON V2,,,,,,,,,,,,,,
IM345,ADJADON V2_R,CI,5.1406,-5.1802,ERICSSON,2G,GRANDS-PONTS,ADJADON V2,,,,,,,,,,,,,,
IM345,ADJADON V2_R,CI,5.1406,-5.1802,ERICSSON,2G,GRANDS-PONTS,ADJADON V2,,,,,,,,,,,,,,
IM342,ZIGRIGBI 1_R,CI,5.611665,-5.422443,ERICSSON,2G,LOH-DJIBOUA,ZIGRIGBI 1,,,,,,,,,,,,,,
IM342,ZIGRIGBI 1_R,CI,5.611665,-5.422443,ERICSSON,2G,LOH-DJIBOUA,ZIGRIGBI 1,,,,,,,,,,,,,,
IM342,ZIGRIGBI 1_R,CI,5.611665,-5.422443,ERICSSON,2G,LOH-DJIBOUA,ZIGRIGBI 1,,,,,,,,,,,,,,
IM180,GBOKORE-PINANGO_R,CI,8.172121,-2.829962,ERICSSON,2G,GONTOUGO,GBOKORE-PINANGO,,,,,,,,,,,,,,
IM180,GBOKORE-PINANGO_R,CI,8.172121,-2.829962,ERICSSON,2G,GONTOUGO,GBOKORE-PINANGO,,,,,,,,,,,,,,
IM180,GBOKORE-PINANGO_R,CI,8.172121,-2.829962,ERICSSON,2G,GONTOUGO,GBOKORE-PINANGO,,,,,,,,,,,,,,
IM346,GBANGOURMAN_R,CI,7.998672,-3.852589,ERICSSON,2G,GONTOUGO,GBANGOURMAN,,,,,,,,,,,,,,
IM346,GBANGOURMAN_R,CI,7.998672,-3.852589,ERICSSON,2G,GONTOUGO,GBANGOURMAN,,,,,,,,,,,,,,
IM346,GBANGOURMAN_R,CI,7.998672,-3.852589,ERICSSON,2G,GONTOUGO,GBANGOURMAN,,,,,,,,,,,,,,
IM350,SANLO_R,CI,8.229210,-3.761133,ERICSSON,2G,GONTOUGO,SANLO,,,,,,,,,,,,,,
IM350,SANLO_R,CI,8.229210,-3.761133,ERICSSON,2G,GONTOUGO,SANLO,,,,,,,,,,,,,,
IM350,SANLO_R,CI,8.229210,-3.761133,ERICSSON,2G,GONTOUGO,SANLO,,,,,,,,,,,,,,
IM363,BINIMERE_R,CI,8.369677,-3.198966,ERICSSON,2G,GONTOUGO,BINIMERE,,,,,,,,,,,,,,
IM363,BINIMERE_R,CI,8.369677,-3.198966,ERICSSON,2G,GONTOUGO,BINIMERE,,,,,,,,,,,,,,
IM363,BINIMERE_R,CI,8.369677,-3.198966,ERICSSON,2G,GONTOUGO,BINIMERE,,,,,,,,,,,,,,
IM365,BANTI_R,CI,8.37725,-3.31656,ERICSSON,2G,GONTOUGO,BANTI,,,,,,,,,,,,,,
IM365,BANTI_R,CI,8.37725,-3.31656,ERICSSON,2G,GONTOUGO,BANTI,,,,,,,,,,,,,,
